epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.439,1.57509,3.75689,1.27619,0.01504,0.49762,0.0775,0.04072,1.52619,3.86507,1.20272,0.00024543,0.00024543,0.00024543
2,5125.7,1.62199,2.66078,1.28714,0.02046,0.61462,0.19483,0.10813,1.57038,3.44078,1.28408,0.000334966,0.000334966,0.000334966
3,5413.8,1.6028,2.35042,1.28908,0.44634,0.2062,0.30834,0.15755,1.54835,2.96065,1.26614,0.00025652,0.00025652,0.00025652
