epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5137.35,1.57509,3.75689,1.27619,0.01504,0.49762,0.0775,0.04072,1.52619,3.86507,1.20272,0.00024543,0.00024543,0.00024543
2,5430.7,1.62782,2.63718,1.29852,0.35218,0.1023,0.21004,0.11399,1.63522,3.24257,1.31828,0.000475202,0.000475202,0.000475202
3,5686.34,1.64337,2.37613,1.31651,0.39956,0.28838,0.30234,0.1614,1.61344,2.79352,1.29905,0.000679777,0.000679777,0.000679777
